"Method","Bias","MAD","MSE","MAPE","RSFE","Tracking_Signal","Next_Period_Forecast_Apr2026"
"Naïve",4450.35,109284.29,18415978127.34,11.6012,155762.33,1.4253,953486
"Moving Average (k=12)",8740.06,94476.88,15425546158.5,9.6297,218501.46,2.3128,1019784
"Weighted Moving Average (k=12)",5524.07,90129.16,13480654064.71,9.2017,138101.74,1.5323,1009197
"Exponential Smoothing",7004.88,106705.04,17190466353.17,11.3113,252175.77,2.3633,950993
"Holt Trend-Adjusted ES",-4426.08,104159.52,17170119985.07,11.1241,-159338.94,-1.5298,962317
"Linear Trend Projection",180974.6,187505.74,46850193483.19,18.1319,6515085.43,34.7461,830031
"Seasonal Indices",177954.5,184074.15,45098456465.3,17.9792,6406362.05,34.8032,828409
"Additive Decomposition",44612.61,136382.23,26860790715.17,13.8372,1606054.13,11.7761,1030733
"Multiplicative Decomposition",45516.77,144890.83,29626578476.99,14.6778,1638603.87,11.3092,1009655
"Regression Trend+Seasonal",180478.57,184523.75,44169679551.66,18.0049,6497228.41,35.2108,848689
